Certificates,RIASEC Code
Film & Media Arts Production Certificate,AES
CS Adobe Apps Specialist Certificate,AIC
CS Adobe Illustrator Cert Certificate,AIC
CS Adobe InDesign Cert Certificate,AIC
CS Adobe Photoshop Entry Certificate,AIC
CS Game Development Certificate,AIC
CS Graphic Design Certificate,AIC
CS Graphic Design Prod Fndmntl Certificate,AIC
CS Web and Mobile Front-End Certificate,AIC
CS Web and Multimedia Certificate,AIC
DM: 3D Modeling & Animation Certificate,AIC
CS Adv Virtual Production RVPA Certificate,AIE
CS Virtual Prod Fundamental Certificate,AIE
Academic Preparedness: English Certificate,AIS
EMLS Credit: Advanced Certificate,AIS
EMLS Credit: Intermediate Certificate,AIS
EMLS NC: Intermediate Certificate,AIS
Theatre Arts: Stagecraft Certificate,ARC
AGEH: Landscape Design Certificate,ARE
Floral Design Certificate,ARE
Interior Design Certificate,ARE
Interior Design: Fundamentals Certificate,ARE
Interior Design: Technical Certificate,ARE
Fashion Design Certificate,ARE
Fashion Fundamentals Certificate,ARE
Theatre Arts: Costuming Certificate,ARE
Theatre Arts: Makeup Design Certificate,ARE
Art: Applied Photography Certificate,ARI
Dance: Choreography and Perfor Certificate,ASE
Dance: Foundations Certificate,ASE
Commercial Music Certificate,ASE
THAR: Adv. Rep. Theatre Certificate,ASE
THAR: Rep. Theatre Certificate,ASE
THAR: Theatre Mgmt Certificate,ASE
Theatre Arts: Acting Certificate,ASE
Administrative Assistant Certificate,CES
Business: Accountant Assistant Certificate,CES
Business: Bookkeeper Certificate,CES
Business: Enrolled Agent (Tax) Certificate,CES
Business:Account Clerk/Payroll Certificate,CES
AE: Financial Literacy Certificate,CES
AE: Tax Preparation Certificate,CES
AE: Basic Computer Ops Certificate,CIR
AE: Web-Based Tools & Appls Certificate,CIR
AE: Workplace Computer Ops Certificate,CIR
CS IT Support Certificate,CIR
CS Microsoft Excel Certificate,CIR
CS Microsoft Office Specialist Certificate,CIR
CS Microsoft Word Certificate,CIR
Basic Academic Skills Certificate,CIS
Paralegal Studies Certificate,CSE
Business: Marketing Certificate,EAC
AE: Social Media for Business Certificate,EAC
Business: Banking and Lending Certificate,ECS
Business: Entrepreneurship Certificate,ECS
Business: Management Certificate,ECS
Business: Real Estate Certificate,ECS
Business: Real Estate Sales Certificate,ECS
AE: Small Business Management Certificate,ECS
AE: Starting a Small Business Certificate,ECS
Solar Photovoltaics: System Design & Sales Certificate,EIC
"Solar Photovoltaics: System Installation, Design & Sales Certificate",EIC
Journalism: Digital Certificate,ESA
AGWS: Wine Marketing Certificate,ESC
Business: Human Resources Certificate,ESC
Hospitality Management Certificate,ESC
Hospitality Management: Meeting and Event Planning Certificate,ESC
CA: Front House Operations Certificate,ESC
CA: Restaurant Dining Room Service Certificate,ESC
AGWS: Wine Hosp & Marketing Certificate,ESR
CS Web and Mobile Full-Stack Certificate,IAC
CS Cybersecurity Certificate,ICR
Pest Control Adviser Certificate,IRC
Academic Prep: Math Certificate,IRC
CS Applied Drone Operation Certificate,IRC
CS Cisco CCNA Cert Certificate,IRC
CS Commercial Drone Cert Certificate,IRC
CS Intro to Digital 3D Print Certificate,IRC
CS Linux Administration Certificate,IRC
CS Linux Essentials Certificate,IRC
ArlRmotSnsng&Photogrammtry Certificate,IRC
Automation Fundamentals Certificate,IRC
Civil Engineering Technology Certificate,IRC
Electronic Technology Fundamentals Certificate,IRC
Geospatial Technology Certificate,IRC
Industrial Maintenance Fundamentals Certificate,IRC
Mechatronics Fundamentals Certificate,IRC
Mechatronics Technician Certificate,IRC
Mechatronics: Industrial Maintenance Technician Certificate,IRC
Signal Technician Certificate,IRC
Surveying Technology Certificate,IRC
Autonomous Vehicle Certificate,IRC
Natural Resources Certificate,IRS
General Education Option A: Local Certificate,ISC
General Education Option B: CSU General Education Breadth Requirements Certificate,ISC
General Education Option C: Intersegmental General Education Transfer Curriculu Certificate,ISC
AGEH: Landscape Constr & Maint Certificate,RAE
AE: Intro to Landscape Maint Certificate,RAE
AE: Intro to Landscaping I Certificate,RAE
AE: Intro to Landscaping II Certificate,RAE
CA: Baking and Pastry Certificate,RAE
Culinary Arts Certificate,RAE
Culinary Arts: Restaurant Ops Certificate,RAE
AGWS: Wine Cellar Worker Certificate,RCE
Apprenticeship: Roofing Certificate,RCI
Electrical Union Apprentice Certificate,RCI
Plumbing & HVAC Apprentice Certificate,RCI
Plumbing & Pipe Fit Apprentice Certificate,RCI
Residential Elect. Apprentice Certificate,RCI
AE: Carpentry Fundamentals Certificate,RCI
AE: Intro to Bldg & Constr Certificate,RCI
Wastewater Operator Certificate,RCI
Wastewater Treatment Operatns Certificate,RCI
Water Distribution Certificate,RCI
Water Treatment Certificate,RCI
Water Utility Operations Certificate,RCI
AUTO Electrical Tech Certificate,RCI
AUTO Engine Machining Certificate,RCI
AUTO HVAC Tech Certificate,RCI
AUTO Powertrain Tech Certificate,RCI
Automotive Brakes and Chassis Certificate,RCI
Automotive Chassis Tech Certificate,RCI
Automotive Diagnostic Tech Certificate,RCI
Automotive Fundamental Certificate,RCI
Automotive MLR Tech Certificate,RCI
Automotive Powertrain Tech Certificate,RCI
Automotive Technology Certificate,RCI
Automotive Transmission Certificate,RCI
DET Electrical Tech Certificate,RCI
DET Engine Tech Certificate,RCI
DET PMI Tech Certificate,RCI
Diesel Chassis (T4 and T5) Certificate,RCI
Diesel Equipment Technology Certificate,RCI
Diesel Power Train (T3) Certificate,RCI
Engine Machining Certificate,RCI
HVACR Fundamentals Certificate,RCI
Medium Heavy Truck Technology Certificate,RCI
MHT Chassis Tech Certificate,RCI
MHT Diagnostic Tech Certificate,RCI
MHT Foundation Tech Certificate,RCI
Weld: Flux Cored Arc: FCAW Certificate,RCI
Weld: Gas Metal Arc: GMAW Certificate,RCI
